,Rule,Class,Precision,Recall,Coverage
0,(1) if V5 == o and V1 == o and V9 == o then,negative,100.0,15.33,5.22
1,(2) if V5 == o and V3 == o and V7 == o then,negative,100.0,14.56,4.96
2,(3) if V5 == x and V9 == x and V1 == x then,positive,100.0,13.66,9.01
3,(4) if V9 == o and V7 == o and V8 == o then,negative,100.0,11.49,3.92
4,(5) if V6 == o and V5 == o and V4 == o then,negative,100.0,11.11,3.79
5,(6) if V3 == o and V9 == o and V6 == o then,negative,100.0,10.73,3.66
6,(7) if V2 == o and V5 == o and V8 == o then,negative,100.0,10.34,3.52
7,(8) if V1 == o and V3 == o and V2 == o and V5 == x then,negative,100.0,7.66,2.61
8,(9) if V7 == x and V5 == x and V3 == x and V1 == o then,positive,100.0,7.33,4.83
9,(10) if V1 == o and V7 == o and V4 == o and V5 == x then,negative,100.0,5.36,1.83
10,(11) if V8 == x and V9 == x and V7 == x and V1 == o then,positive,100.0,5.35,3.52
11,(12) if V5 == x and V1 == b and V9 == b then,positive,100.0,4.95,3.26
12,(13) if V3 == x and V8 == b and V1 == x and V2 == x then,positive,100.0,4.16,2.74
13,(14) if V5 == b and V9 == x and V1 == b then,positive,100.0,3.76,2.48
14,(15) if V1 == o and V5 == x and V9 == o and V3 == b then,positive,100.0,2.57,1.7
15,(16) if V3 == x and V5 == x and V7 == b then,positive,100.0,2.57,1.7
16,(17) if V6 == x and V3 == x and V9 == x and V5 == o and V7 == b then,positive,100.0,2.38,1.57
17,(18) if V3 == x and V1 == x and V8 == x and V2 == x then,positive,100.0,2.18,1.44
18,(19) if V7 == x and V1 == x and V4 == x and V2 == x then,positive,100.0,1.98,1.31
19,(20) if V9 == b and V1 == x and V5 == x and V8 == o then,positive,100.0,1.98,1.31
20,(21) if V5 == b and V1 == x and V2 == o and V6 == o then,positive,100.0,1.58,1.04
21,(22) if V9 == b and V4 == x and V1 == o and V7 == o and V5 == x then,positive,100.0,1.58,1.04
22,(23) if V7 == x and V6 == b and V1 == x and V8 == x then,positive,100.0,1.39,0.91
23,(24) if V2 == x and V7 == b and V3 == o and V1 == o and V5 == x then,positive,100.0,1.39,0.91
24,(25) if V7 == x and V2 == b and V8 == o and V5 == b then,positive,100.0,1.19,0.78
25,(26) if V5 == b and V8 == o and V7 == b and V1 == x then,positive,100.0,1.19,0.78
26,(27) if V3 == x and V9 == x and V6 == x and V1 == x and V7 == o then,positive,100.0,1.19,0.78
27,(28) if V1 == b and V9 == o and V2 == o and V8 == b then,positive,100.0,0.99,0.65
28,(29) if V1 == b and V9 == o and V6 == b and V4 == o then,positive,100.0,0.99,0.65
29,(30) if V7 == x and V1 == x and V3 == x and V5 == x and V9 == o then,positive,100.0,0.99,0.65
30,(31) if V4 == x and V7 == x and V1 == x and V5 == x and V9 == o then,positive,100.0,0.99,0.65
31,(32) if V6 == x and V7 == b and V2 == b and V3 == o then,positive,100.0,0.79,0.52
32,(33) if V4 == b and V3 == x and V5 == b and V1 == o and V6 == x then,positive,100.0,0.79,0.52
