,Rule,Class,Precision,Recall,Coverage
0,(1) if safety == low then,unacc,100.0,48.8,33.94
1,(2) if persons == 2 and safety == high then,unacc,100.0,15.71,10.93
2,(3) if safety == med and persons == 2 then,unacc,100.0,14.98,10.42
3,(4) if maint == low and buying == med and safety == med and lug_boot == big and persons == 4 then,good,100.0,6.0,0.22
4,(5) if buying == low and maint == med and persons == 4 and safety == high and lug_boot == small then,good,100.0,6.0,0.22
5,(6) if maint == low and buying == med and safety == high and persons == 4 and lug_boot == small then,good,100.0,6.0,0.22
6,(7) if buying == low and maint == low and safety == med and lug_boot == big and persons == 4 then,good,100.0,6.0,0.22
7,(8) if buying == low and maint == med and safety == med and persons == 4 and lug_boot == big then,good,100.0,6.0,0.22
8,(9) if safety == high and buying == low and lug_boot == big and persons == 4 and maint == low then,vgood,100.0,5.88,0.22
9,(10) if safety == high and buying == low and maint == med and lug_boot == big and persons == more then,vgood,100.0,5.88,0.22
10,(11) if safety == high and buying == med and maint == med and lug_boot == big and persons == 4 then,vgood,100.0,5.88,0.22
11,(12) if safety == high and buying == low and persons == 4 and maint == high and lug_boot == big then,vgood,100.0,5.88,0.22
12,(13) if safety == high and buying == med and maint == low and persons == 4 and lug_boot == big then,vgood,100.0,5.88,0.22
13,(14) if safety == high and buying == med and maint == med and persons == more and lug_boot == big then,vgood,100.0,5.88,0.22
14,(15) if safety == high and buying == low and maint == low and persons == more and lug_boot == big then,vgood,100.0,5.88,0.22
15,(16) if maint == low and buying == low and persons == more and safety == med and lug_boot == big then,good,100.0,4.0,0.14
16,(17) if safety == high and persons == 4 and maint == high and buying == med then,acc,100.0,3.44,0.8
17,(18) if safety == med and persons == 4 and buying == med and maint == med then,acc,100.0,3.12,0.72
18,(19) if safety == high and persons == 4 and maint == vhigh and buying == low then,acc,100.0,3.12,0.72
19,(20) if safety == high and persons == 4 and buying == med and maint == vhigh then,acc,100.0,3.12,0.72
20,(21) if safety == high and persons == 4 and buying == high and maint == low then,acc,100.0,2.81,0.65
21,(22) if persons == 4 and safety == high and buying == high and maint == high then,acc,100.0,2.81,0.65
22,(23) if safety == high and persons == 4 and maint == med and buying == high then,acc,100.0,2.81,0.65
23,(24) if persons == 4 and maint == low and buying == vhigh and safety == high then,acc,100.0,2.81,0.65
24,(25) if safety == med and persons == 4 and buying == low and maint == high then,acc,100.0,2.5,0.58
